measure,age,n,mean,sd
identity,14,204,3.251,0.515
identity,15,668,3.182,0.518
identity,16,1377,3.23,0.533
identity,17,2104,3.258,0.515
identity,18,2227,3.288,0.515
identity,19,1873,3.329,0.522
identity,20,1485,3.374,0.503
identity,21,1057,3.363,0.513
identity,22,819,3.386,0.501
identity,23,441,3.423,0.457
identity,24,100,3.467,0.42
maturity,14,204,3.01,0.464
maturity,15,668,3.007,0.476
maturity,16,1378,3.068,0.475
maturity,17,2104,3.108,0.466
maturity,18,2228,3.147,0.467
maturity,19,1873,3.195,0.478
maturity,20,1486,3.249,0.462
maturity,21,1057,3.247,0.463
maturity,22,820,3.273,0.454
maturity,23,441,3.286,0.433
maturity,24,100,3.352,0.389
self_reliance,14,204,3.055,0.528
self_reliance,15,666,3.075,0.537
self_reliance,16,1377,3.157,0.538
self_reliance,17,2104,3.196,0.522
self_reliance,18,2227,3.227,0.524
self_reliance,19,1872,3.275,0.531
self_reliance,20,1485,3.322,0.505
self_reliance,21,1056,3.326,0.496
self_reliance,22,819,3.346,0.497
self_reliance,23,441,3.352,0.488
self_reliance,24,100,3.423,0.476
work_orient,14,204,2.725,0.544
work_orient,15,668,2.766,0.536
work_orient,16,1378,2.819,0.527
work_orient,17,2104,2.871,0.515
work_orient,18,2228,2.927,0.517
work_orient,19,1873,2.98,0.524
work_orient,20,1486,3.049,0.508
work_orient,21,1057,3.052,0.501
work_orient,22,820,3.088,0.501
work_orient,23,441,3.083,0.491
work_orient,24,100,3.164,0.421
